Invoice No,Order No,Sales Rep Name,SITE,Date,Ship to Country,Market Segment,Quantity,Unit Cost,Unit Price,Total Profit USD,Total Cost USD,Total Value USD
24002290,24100343,FBER,B,2024-06-28,US,TR,1464,10.2559,14.79,"$6,638 ","$15,015 ",21653
24002290,24100343,FBER,B,2024-06-28,US,TR,1,0,0,$0 ,$0 ,0
24002292,24101537,FBER,B,2024-06-28,US,TR,100,3.6035,10.88,$728 ,$360 ,1088
24002292,24101537,FBER,B,2024-06-28,US,TR,1,0,0,$0 ,$0 ,0
24002293,23103363,KTIE,B,2024-06-28,US,NT,21,14.249,59.54,$951 ,$299 ,1250
24002293,23103363,KTIE,B,2024-06-28,US,NT,1,0,0,$0 ,$0 ,0
24002294,23103642,KTIE,B,2024-06-28,CA,NW,2056,21.5517,35.9,"$29,500 ","$44,310 ",73810
24002295,24100217,SBEA,B,2024-06-28,US,TA,221,10.7427,126.85,"$25,660 ","$2,374 ",28034
24002295,24100217,SBEA,B,2024-06-28,US,TA,1,0,0,$0 ,$0 ,0
24002296,24100255,SBEA,B,2024-06-28,US,TA,20,34.42,107.85,"$1,469 ",$688 ,2157
24002296,24100255,SBEA,B,2024-06-28,US,TA,1,0,0,$0 ,$0 ,0
24002297,24101517,FBER,B,2024-06-28,US,TR,50,10.5784,15.54,$248 ,$529 ,777
24002297,24101517,FBER,B,2024-06-28,US,TR,1,0,0,$0 ,$0 ,0
24002298,24101563,MWIS,B,2024-06-28,US,PO,40,10.87,32.39,$861 ,$435 ,1296
24002298,24101563,MWIS,B,2024-06-28,US,PO,1,0,0,$0 ,$0 ,0
24002299,23102917,GXAV,B,2024-06-28,US,TE,1500,7.1879,8.54,"$2,028 ","$10,782 ",12810
24002300,23103085,DGAS,B,2024-06-28,US,PS,300,1.3545,2.78,$428 ,$406 ,834
24002300,23103085,DGAS,B,2024-06-28,US,PS,1,0,0,$0 ,$0 ,0
24002301,23103166,KTIE,B,2024-06-28,US,NW,1079,23.7048,35.9,"$13,159 ","$25,577 ",38736
24002301,23103166,KTIE,B,2024-06-28,US,NW,1,0,160,$160 ,$0 ,160
24002302,23103191,MRHO,B,2024-06-28,US,PO,100,6.2979,6.58,$28 ,$630 ,658
24002302,23103191,MRHO,B,2024-06-28,US,PO,1,0,0,$0 ,$0 ,0
24002303,23103239,DGAS,B,2024-06-28,US,PV,525,1.9141,10.87,"$4,702 ","$1,005 ",5707
24002303,23103239,DGAS,B,2024-06-28,US,PV,1,0,0,$0 ,$0 ,0
24002304,23103554,AMIN,B,2024-06-28,CA,TR,1592,8.4922,16.5,"$12,748 ","$13,520 ",26268
24002305,24100012,MRHO,B,2024-06-28,US,PS,150,4.5736,8.06,$523 ,$686 ,1209
24002305,24100012,MRHO,B,2024-06-28,US,PS,1,0,0,$0 ,$0 ,0
24002306,24100043,DGAS,B,2024-06-28,US,PV,250,2.4555,5.15,$674 ,$614 ,1288
24002306,24100043,DGAS,B,2024-06-28,US,PV,1,0,0,$0 ,$0 ,0
24002307,24100065,OGAL,B,2024-06-28,US,NH,110,9.2009,24.49,"$1,682 ","$1,012 ",2694
24002307,24100065,OGAL,B,2024-06-28,US,NH,1,0,0,$100 ,$0 ,100
24002308,24100317,DGAS,B,2024-06-28,US,PV,300,2.4555,5.15,$808 ,$737 ,1545
24002308,24100317,DGAS,B,2024-06-28,US,PV,1,0,0,$0 ,$0 ,0
24002309,24100324,MWIS,B,2024-06-28,US,PI,250,52.03,93.65,"$10,405 ","$13,008 ",23413
24002309,24100324,MWIS,B,2024-06-28,US,PI,161,11.22,20.2,"$1,446 ","$1,806 ",3252
24002309,24100324,MWIS,B,2024-06-28,US,PI,1,0,146.78,$147 ,$0 ,147
24002310,24100453,MRHO,B,2024-06-28,US,PS,1200,3.4333,4.83,"$1,676 ","$4,120 ",5796
24002310,24100453,MRHO,B,2024-06-28,US,PS,1,0,0,$0 ,$0 ,0
24002311,24100492,MWIS,B,2024-06-28,US,PM,600,12.3547,43.48,"$18,675 ","$7,413 ",26088
24002311,24100492,MWIS,B,2024-06-28,US,PM,1,0,0,$0 ,$0 ,0
24002312,24100609,SBEA,B,2024-06-28,US,TA,100,4.42,28.78,"$2,436 ",$442 ,2878
24002312,24100609,SBEA,B,2024-06-28,US,TA,1,0,0,$0 ,$0 ,0
24002313,24100636,KTIE,B,2024-06-28,US,NW,400,41.2344,40.07,($466),"$16,494 ",16028
24002314,24100729,MWIS,B,2024-06-28,US,PM,4,18.045,99.61,$326 ,$72 ,398
24002314,24100729,MWIS,B,2024-06-28,US,PM,1,0,0,$24 ,$0 ,24
24002315,24100789,GXAV,B,2024-06-28,US,TE,200,21.7408,32.95,"$2,242 ","$4,348 ",6590
24002315,24100789,GXAV,B,2024-06-28,US,TE,1,0,0,$0 ,$0 ,0
24002316,24100838,SBEA,B,2024-06-28,US,TA,2000,0.5408,5.84,"$10,598 ","$1,082 ",11680
24002317,24100959,KTIE,B,2024-06-28,US,NW,1400,28.2459,47.48,"$26,928 ","$39,544 ",66472
24002318,24100962,DGAS,B,2024-06-28,US,PS,8000,1.6146,2.51,"$7,163 ","$12,917 ",20080
24002319,24100978,BHOU,B,2024-06-28,CA,IC,300,50.0606,67.47,"$5,223 ","$15,018 ",20241
24002320,24100991,MRHO,B,2024-06-28,US,PI,104,9.554,23.98,"$1,500 ",$994 ,2494
24002320,24100991,MRHO,B,2024-06-28,US,PI,1,0,0,$0 ,$0 ,0
24002321,24101203,BHOU,B,2024-06-28,PE,NM,200,9.6888,16.77,"$1,416 ","$1,938 ",3354
24002322,24101247,SBEA,B,2024-06-28,US,TA,534,3.1182,18.78,"$8,363 ","$1,665 ",10029
24002323,24101435,MWIS,B,2024-06-28,US,OL,1,655.6,1780,"$1,124 ",$656 ,1780
24002323,24101435,MWIS,B,2024-06-28,US,OL,1,0,0,$0 ,$0 ,0
24002324,24101552,FBER,B,2024-06-28,US,TR,48,4.1354,7.04,$139 ,$199 ,338
24002324,24101552,FBER,B,2024-06-28,US,TR,1,0,0,$0 ,$0 ,0
24002325,24101658,MWIS,B,2024-06-28,US,PO,24,7.8692,29.23,$513 ,$189 ,702
24002325,24101658,MWIS,B,2024-06-28,US,PO,1,0,23.91,$24 ,$0 ,24
24002325,24101658,MWIS,B,2024-06-28,US,PO,24,5.7779,22.82,$409 ,$139 ,548
24002325,24101658,MWIS,B,2024-06-28,US,PO,1,0,16.63,$17 ,$0 ,17
24002326,24101752,GXAV,B,2024-06-28,US,TR,175,119.9086,169.48,"$8,675 ","$20,984 ",29659
24002327,24101769,KTIE,B,2024-06-28,US,NW,1,0,108,$108 ,$0 ,108
24401219,23200772,SBEA,T,2024-06-28,US,TA,9,49.4456,86.122,$241 ,$327 ,568
24401219,23200772,SBEA,T,2024-06-28,US,TA,100,49.4459,86.122,"$2,677 ","$3,636 ",6313
24401219,23200772,SBEA,T,2024-06-28,US,TA,100,49.4459,86.122,"$2,677 ","$3,636 ",6313
